# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = altermu_model
# start_datetime = 2023-10-09 20:37:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = ../../programs/STAN/altermu/altermu.data.R
# init = 2 (Default)
# random
#   seed = 491906840 (Default)
# output
#   file = altermu.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3
# Adaptation terminated
# Step size = 0.0442594
# Diagonal elements of inverse mass matrix:
# 0.570695, 1.25469, 1.97845
-75.9266,0.998502,0.0442594,7,127,0,76.2169,0.333499,0.875886,0.621954
-76.6946,0.798695,0.0442594,3,7,0,79.5916,0.434957,0.92929,0.707948
-76.5083,0.993967,0.0442594,5,55,0,77.2882,0.403678,0.30656,0.274597
-80.2576,0.844344,0.0442594,5,39,0,81.8969,1.55951,-0.216797,-0.90638
-77.6829,0.450426,0.0442594,2,7,0,83.7395,1.58911,-0.0702386,-0.861029
-77.2093,0.95,0.0442594,6,101,0,80.1481,-0.0958076,-1.64351,0.319982
-78.1565,0.855924,0.0442594,7,127,0,80.4156,-1.90018,-0.143869,0.596754
-75.7242,0.440919,0.0442594,6,79,0,80.2283,0.00719634,0.80631,-0.319727
-75.9137,0.918561,0.0442594,4,31,0,78.2384,0.270004,0.267143,-0.230738
-75.6288,0.981033,0.0442594,3,15,0,76.6428,0.212591,0.206777,-0.105931
-75.8795,0.985341,0.0442594,3,7,0,76.3335,0.180004,0.18248,-0.342832
-76.2039,0.995147,0.0442594,4,31,0,77.8198,-0.15924,0.53212,-0.395237
-75.8175,0.997131,0.0442594,5,55,0,77.0652,-0.188056,0.269978,-0.565327
-76.2891,0.997541,0.0442594,5,35,0,76.6016,-0.160426,1.00366,-0.902997
-78.0392,0.892797,0.0442594,3,7,0,78.3873,-0.250781,1.06597,-0.798505
-76.2239,0.992981,0.0442594,3,15,0,78.3452,-0.170551,1.09227,-0.778707
-76.0881,0.964333,0.0442594,6,63,0,77.9582,-0.40334,-0.212118,-0.217057
-75.5642,0.928843,0.0442594,3,11,0,78.0815,-0.154568,-0.00943331,-0.258983
-75.9913,0.988102,0.0442594,4,15,0,76.1959,-0.263727,0.00389882,-0.459797
-75.9308,0.997808,0.0442594,5,63,0,76.6159,0.139069,0.954389,-0.00180915
-77.0619,0.896916,0.0442594,5,63,0,79.7808,0.476414,0.772978,0.54315
-77.4103,0.929578,0.0442594,6,63,0,79.051,-1.45166,0.291815,-1.46005
-75.9101,0.801915,0.0442594,6,63,0,78.5486,-0.381131,0.325824,-0.570864
-76.5036,0.973301,0.0442594,3,15,0,77.1081,-0.452709,0.223784,-0.809048
-77.0407,0.993338,0.0442594,4,31,0,78.4857,-0.623466,0.481599,-0.980082
-76.2639,1,0.0442594,3,7,0,77.1349,-0.577304,0.308309,-0.97941
-78.2728,0.933913,0.0442594,6,63,0,78.9045,0.182787,1.43345,0.158016
-76.4313,0.875653,0.0442594,5,59,0,81.1339,-1.28135,-0.109057,-0.0291129
-78.1175,0.714379,0.0442594,7,127,0,79.372,0.225792,1.86529,1.04232
-78.8312,0.560468,0.0442594,5,35,0,82.0898,0.0941105,1.9573,0.300328
-76.4471,0.987492,0.0442594,6,111,0,83.0987,-0.0201987,1.51628,-0.41876
-77.4913,0.901174,0.0442594,6,75,0,77.7721,0.270501,-1.54014,-1.45149
-80.5492,0.892784,0.0442594,6,63,0,81.1002,1.21037,-0.374185,-1.94616
-77.5176,0.936941,0.0442594,6,91,0,83.1981,-0.547109,-1.25888,1.70499
-76.5578,0.999646,0.0442594,6,127,0,78.1089,-0.375969,0.91847,-1.40138
-75.8272,0.999965,0.0442594,5,47,0,76.8568,-0.371385,0.462627,-0.770154
-76.6596,0.998382,0.0442594,6,63,0,77.3052,0.639727,-0.644823,-1.4801
-79.18,0.992989,0.0442594,6,127,0,79.7281,0.826528,0.866507,1.94676
-76.596,0.954121,0.0442594,6,63,0,80.1232,0.553387,1.01365,1.38735
-76.6384,0.954734,0.0442594,7,191,0,78.0124,-1.03246,0.147457,-0.933482
-76.6872,0.989899,0.0442594,3,15,0,77.0613,-1.06906,0.24729,-0.938621
-76.0052,0.888266,0.0442594,6,67,0,78.2003,-0.164802,-1.19575,0.301101
-75.6004,0.989034,0.0442594,6,95,0,76.3844,-0.0545316,-0.175095,-0.340707
-78.2743,0.865011,0.0442594,7,191,0,79.075,-1.9233,-0.144806,0.560305
-78.0244,0.36154,0.0442594,5,43,0,79.9644,-1.8041,-0.108214,0.0763918
-77.975,0.996389,0.0442594,7,127,0,78.8775,-1.71326,0.235164,-1.3785
-80.3055,0.911097,0.0442594,7,127,0,80.7639,-1.96363,-0.323394,1.41279
-79.6766,0.878923,0.0442594,7,127,0,80.6331,-1.96219,0.195267,-1.46458
-78.3702,0.605168,0.0442594,6,79,0,81.4867,-1.88678,-0.234442,1.11259
-76.4822,0.717808,0.0442594,7,127,0,80.6573,-0.153733,-1.53244,0.410798
-77.6992,0.725972,0.0442594,5,63,0,80.3927,0.242152,-1.6116,-1.55685
-76.8789,0.933836,0.0442594,6,63,0,79.5672,1.12848,-0.228672,-1.23603
-76.5651,0.997659,0.0442594,6,63,0,77.2686,0.789973,-0.352166,-1.27023
-76.4476,0.93835,0.0442594,3,15,0,77.5808,0.729579,-0.437655,-1.34417
-76.8446,0.86046,0.0442594,2,3,0,78.2565,0.759733,-0.51051,-1.31542
-78.5831,0.904268,0.0442594,6,63,0,79.9204,1.58427,-0.129198,-0.614126
-78.7488,0.635214,0.0442594,6,63,0,81.0085,-0.266691,-1.20362,1.0013
-78.3829,0.987709,0.0442594,2,7,0,79.6116,-0.275549,-1.23465,1.02768
-76.4522,0.937941,0.0442594,5,51,0,81.9463,0.353472,-0.67895,-0.862361
-75.7041,0.955613,0.0442594,5,51,0,79.2971,0.338976,0.550299,0.182394
-76.3564,0.952695,0.0442594,5,39,0,77.607,-0.179802,0.790479,-0.567427
-76.8536,0.981034,0.0442594,4,23,0,77.3175,-0.126378,0.613397,-0.776023
-76.0659,0.952352,0.0442594,5,35,0,79.2527,-0.766014,0.284815,-0.879506
-76.489,0.998786,0.0442594,5,37,0,76.8205,-0.893787,0.410403,-1.36119
-77.1982,0.921161,0.0442594,3,11,0,77.6379,-0.992528,0.416448,-1.36597
-78.8047,0.904773,0.0442594,6,63,0,80.0131,-0.568205,0.672876,-1.74226
-77.2404,0.988271,0.0442594,3,15,0,79.169,-0.663612,0.729328,-1.73315
-77.0443,0.9961,0.0442594,5,31,0,77.4499,-0.518659,0.891097,-1.64505
-76.5418,0.957751,0.0442594,6,63,0,78.4346,-1.07015,0.331012,-1.32942
-76.1888,0.963389,0.0442594,6,127,0,77.7643,-0.014013,1.15352,-0.248785
-76.6639,0.930215,0.0442594,2,3,0,77.0065,-0.0279421,1.14337,-0.215615
-76.7293,0.995894,0.0442594,6,63,0,77.4774,-1.03592,-0.0149489,-0.470271
-76.2722,0.944859,0.0442594,4,27,0,77.8445,-0.875718,-0.0847658,-0.252024
-76.7209,0.985409,0.0442594,6,63,0,77.3486,-0.412952,0.726823,-1.35056
-76.4463,0.999561,0.0442594,2,7,0,76.7574,-0.425847,0.764319,-1.35328
-75.868,0.952619,0.0442594,5,55,0,78.2604,0.194831,0.721751,0.00657312
-75.9889,0.991941,0.0442594,5,63,0,76.3791,0.551519,0.305729,0.0555529
-75.8075,0.99013,0.0442594,6,63,0,76.4438,0.257616,0.676874,0.121544
-77.2331,0.846798,0.0442594,2,3,0,78.1354,0.275417,0.732189,0.0136049
-76.5763,0.996235,0.0442594,5,43,0,78.3615,-0.31786,0.694674,-0.781764
-76.8064,0.992769,0.0442594,4,31,0,77.5503,-0.682187,0.333412,-1.18028
-76.7117,0.975053,0.0442594,7,127,0,77.8646,0.123705,-1.31023,-0.639182
-76.4336,0.986768,0.0442594,6,127,0,77.4859,1.34647,0.230007,0.702535
-77.6042,0.982545,0.0442594,5,63,0,78.4307,1.61894,0.349178,1.46869
-77.4523,0.416205,0.0442594,7,127,0,80.542,-0.117255,1.69622,-0.756321
-76.907,0.941265,0.0442594,6,105,0,79.6709,-0.938034,0.454186,-1.6057
-76.2842,0.995195,0.0442594,5,39,0,77.0648,-0.881168,0.352564,-1.18754
-76.7679,0.954834,0.0442594,2,3,0,76.8323,-0.89,0.269717,-1.19708
-76.8193,0.992434,0.0442594,6,127,0,78.5341,-1.23653,-0.210847,0.272806
-76.7426,0.960024,0.0442594,6,63,0,77.949,-0.0384865,-1.1567,-0.375163
-76.7666,0.999656,0.0442594,6,63,0,77.6622,0.377954,-0.884543,-1.42638
-76.9126,0.910553,0.0442594,7,129,0,80.0625,1.01183,-0.274247,-1.30191
-76.464,0.967589,0.0442594,6,63,0,78.1346,0.136302,0.83776,0.223995
-75.7784,0.998599,0.0442594,5,47,0,76.9244,0.280364,-0.540959,-0.728278
-75.7908,0.990374,0.0442594,6,63,0,77.6919,0.240682,-0.609047,-0.711321
-75.5782,0.997798,0.0442594,5,63,0,76.6903,0.31883,-0.115177,-0.39936
-75.692,0.996045,0.0442594,6,63,0,75.8065,0.282104,-0.164723,-0.369615
-76.241,0.992772,0.0442594,5,39,0,76.5519,0.359275,0.642961,0.541572
-78.4003,0.947765,0.0442594,5,63,0,80.5965,0.476299,1.01932,1.44065
-78.8497,0.991055,0.0442594,3,7,0,79.2065,0.646543,1.10246,1.51412
-76.9745,0.966667,0.0442594,2,3,0,79.4586,0.609208,1.04642,1.52276
-75.9294,0.99936,0.0442594,5,47,0,78.6754,0.659119,0.591556,0.8438
-79.0446,0.82508,0.0442594,4,31,0,80.577,0.798474,0.820354,1.29342
-76.2326,0.954157,0.0442594,4,19,0,80.8828,0.379414,1.03173,0.93526
-77.8757,0.97578,0.0442594,6,63,0,78.5184,0.254719,1.77172,0.878419
-77.8006,0.659266,0.0442594,6,63,0,80.6,1.41595,-0.0434419,-0.761076
-75.9849,0.723237,0.0442594,5,63,0,81.1845,-0.518311,-0.063192,-0.0693697
-76.2891,0.993837,0.0442594,6,79,0,77.708,0.411407,-0.72216,-1.09907
-76.4998,0.991038,0.0442594,6,63,0,77.4286,0.0840896,-1.24807,-0.482268
-76.501,0.972236,0.0442594,7,255,0,78.0232,1.15345,0.0853265,0.152283
-76.8701,0.868996,0.0442594,3,15,0,77.7089,1.24708,0.0574842,0.109535
-77.7976,0.997797,0.0442594,6,127,0,79.0275,0.787966,0.925836,1.73243
-76.9863,0.979211,0.0442594,6,63,0,78.7918,1.21929,0.0615377,-0.307021
-78.5178,0.573953,0.0442594,6,127,0,82.7972,1.03042,0.751317,1.86491
-77.1665,0.93881,0.0442594,6,127,0,80.0896,1.62767,0.317066,1.23151
-77.3037,0.826969,0.0442594,6,63,0,78.3482,1.37232,0.362053,1.33341
-79.5426,0.628641,0.0442594,6,127,0,80.6412,0.392732,1.65681,1.30875
-78.741,0.979133,0.0442594,5,31,0,81.0368,0.591148,0.636766,1.17693
-79.9361,0.893099,0.0442594,2,3,0,81.3935,0.541742,0.642177,1.16792
-77.6589,0.986262,0.0442594,3,7,0,80.3904,0.555636,0.912451,0.929234
-77.8063,1,0.0442594,3,7,0,77.8848,0.409226,0.877933,1.05671
-77.6903,0.934284,0.0442594,4,31,0,81.0708,0.114794,1.06051,0.354157
-78.3982,0.830716,0.0442594,2,7,0,80.8662,0.270484,1.00323,0.143984
-75.871,1,0.0442594,2,3,0,78.1379,0.196451,1.00565,0.235847
-76.1685,0.90361,0.0442594,3,11,0,77.8137,0.19231,1.20058,0.461888
-82.5045,0.896249,0.0442594,7,127,0,83.9699,0.0834114,1.9942,-0.110605
-82.5045,0.159956,0.0442594,1,1,0,85.7585,0.0834114,1.9942,-0.110605
-84.111,0.442737,0.0442594,2,3,0,85.7456,-0.0187359,1.99432,-0.0134768
-84.6689,0.972543,0.0442594,2,7,0,84.935,0.103181,1.99464,-0.133442
-77.8495,1,0.0442594,7,127,0,85.6395,-0.388108,1.26008,-1.80733
-76.1259,0.990525,0.0442594,6,63,0,79.5806,-1.13133,0.157625,-0.85159
-76.8422,0.843255,0.0442594,6,63,0,78.1878,0.0079022,-1.22826,-0.135733
-77.3227,0.973246,0.0442594,2,3,0,77.4841,-0.105927,-1.2576,-0.16543
-76.2425,0.985254,0.0442594,5,51,0,78.7044,-0.384227,-0.996839,0.923123
-76.0452,0.955827,0.0442594,5,31,0,77.2532,-0.745951,-0.380352,0.647377
-77.5212,0.900114,0.0442594,5,63,0,79.0499,-0.648388,-0.588666,1.10048
-82.6524,0.898009,0.0442594,6,63,0,83.251,0.370382,-1.78703,-1.92422
-79.0995,0.918106,0.0442594,6,127,0,84.014,-1.24133,-0.617712,1.94203
-80.122,0.966535,0.0442594,7,127,0,81.5421,0.356669,-1.53645,-1.97171
-79.7518,0.943171,0.0442594,7,127,0,81.2505,-1.97437,0.105926,-1.03289
-80.6242,0.648097,0.0442594,5,31,0,80.7772,-1.97497,0.1887,-1.22336
-81.2621,0.944172,0.0442594,6,63,0,82.2229,-1.97515,0.236622,-1.47417
-78.6047,0.306817,0.0442594,6,67,0,82.7669,-1.94865,-0.125775,0.424175
-78.3124,0.112452,0.0442594,6,113,0,83.5373,-1.92906,-0.144442,0.518519
-76.8658,0.841772,0.0442594,6,95,0,79.0971,-1.43194,0.218915,-1.16231
-77.1018,0.463773,0.0442594,2,3,0,79.0491,-1.45117,0.164241,-1.16307
-76.1791,0.99162,0.0442594,6,63,0,77.5275,-0.79989,0.350871,-1.08545
-77.8505,0.962254,0.0442594,6,127,0,78.3373,-0.261319,1.55008,-1.33322
-79.8448,0.86509,0.0442594,2,3,0,79.8918,-0.144721,1.53752,-1.35063
-77.2541,1,0.0442594,2,3,0,79.5469,-0.20517,1.5304,-1.3484
-77.3342,0.999674,0.0442594,3,11,0,77.4497,-0.244934,1.55854,-1.36135
-77.4707,0.985785,0.0442594,6,127,0,77.9639,-0.304954,1.29144,-1.61147
-78.8767,0.979741,0.0442594,6,63,0,79.5998,-0.162663,1.84078,-1.39951
-77.1324,0.999536,0.0442594,6,127,0,79.0433,0.148835,1.74285,0.393901
-76.0952,0.99997,0.0442594,6,63,0,77.3431,0.319859,1.10355,0.698869
-75.897,0.997461,0.0442594,6,119,0,76.3999,-0.284204,0.546587,-0.844045
-76.0539,0.958919,0.0442594,3,15,0,77.7602,-0.467357,0.511657,-0.939397
-76.9582,0.907538,0.0442594,2,7,0,77.8706,-0.505746,0.490044,-0.817315
-76.1572,0.979103,0.0442594,5,47,0,78.7567,-0.664907,-0.109417,0.0699922
-77.5849,0.89324,0.0442594,2,7,0,78.2055,-0.616676,-0.0582448,0.11078
-75.9697,0.983191,0.0442594,2,3,0,77.973,-0.607277,-0.135748,0.0710206
-76.0769,0.964821,0.0442594,5,35,0,77.4198,-1.12333,0.13079,-0.714814
-76.072,0.699266,0.0442594,6,127,0,78.4189,-1.12748,-0.072253,-0.157577
-76.4881,1,0.0442594,7,127,0,77.0414,-0.793588,0.464188,-1.42559
-81.6316,0.971151,0.0442594,6,71,0,81.993,-0.395592,1.54051,-1.99013
-81.724,0.95641,0.0442594,2,3,0,82.1166,-0.329616,1.51643,-1.98975
-80.4992,0.94344,0.0442594,5,31,0,83.2321,-0.46709,1.20255,-1.98753
-79.2052,0.88372,0.0442594,5,47,0,83.3811,-0.531734,1.11035,-1.93259
-76.2939,0.998471,0.0442594,6,87,0,79.4039,-0.857787,0.0740387,-0.336236
-76.0839,0.998925,0.0442594,2,7,0,76.3799,-0.817734,-0.0150145,-0.406921
-76.1198,0.91921,0.0442594,6,63,0,77.3946,-0.0980749,0.898878,-0.687334
-75.6499,0.999996,0.0442594,4,27,0,76.3664,-0.063809,0.457529,-0.445646
-75.601,0.993501,0.0442594,2,7,0,75.9097,-0.080401,0.4547,-0.408642
-76.0463,0.986241,0.0442594,5,43,0,76.7811,-0.137066,-0.47915,0.0409739
-75.8601,0.998014,0.0442594,4,27,0,76.4537,-0.15347,-0.409299,-0.245337
-76.6362,0.982595,0.0442594,5,39,0,77.5126,-0.0850197,-1.25735,-0.164081
