# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples/bernoulli/bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 452851722 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file = text.txt
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,p_theta,g_theta
-6.93205,0.960983,1.14303,2,3,0,7.13803,-1.51824,1.0124,-0.843348
-6.96223,0.993087,1.14303,1,1,0,7.00138,-1.55279,0.441322,-0.9038
-6.76342,0.991075,1.14303,2,3,0,7.02752,-1.21677,-1.14636,-0.257926
-9.05837,0.550486,1.14303,1,3,0,9.93255,-2.7783,2.08564,-2.2979
-7.6849,0.928668,1.14303,1,3,0,8.88525,-2.09921,2.44395,-1.68992
-7.20992,1,1.14303,1,1,0,7.61507,-1.77988,1.41985,-1.26819
-6.93234,1,1.14303,1,1,0,7.15437,-1.51859,-1.05108,-0.843972
-6.83821,1,1.14303,1,1,0,6.91746,-1.38895,-0.628005,-0.605094
-7.78895,0.837812,1.14303,1,3,0,7.87975,-2.15954,-0.672205,-1.75868
-6.75826,0.971162,1.14303,1,3,0,7.74926,-1.19478,2.22063,-0.211135
-6.76477,0.998183,1.14303,1,1,0,6.76657,-1.22192,0.094553,-0.268815
-6.76763,0.992482,1.14303,2,3,0,6.81665,-1.23214,0.493882,-0.290323
-7.86108,0.776815,1.14303,1,3,0,8.0939,-2.20004,-1.07633,-1.80304
-7.04525,0.985336,1.14303,1,3,0,7.71242,-1.63784,1.82203,-1.0469
-6.79414,0.96412,1.14303,2,3,0,7.20601,-0.899382,1.43159,0.470131
-7.56153,0.772611,1.14303,1,3,0,8.0345,-2.02423,-1.5341,-1.59981
-10.1592,0.67539,1.14303,1,3,0,11.8919,0.493343,2.93625,4.45072
-6.86261,1,1.14303,1,3,0,9.75374,-1.42701,3.79291,-0.677212
-8.31971,0.807754,1.14303,2,3,0,8.63161,-2.43847,-1.2458,-2.03657
-7.56268,1,1.14303,1,1,0,8.22464,-2.02494,1.81491,-1.6007
-6.77314,1,1.14303,2,3,0,7.38976,-0.950986,-1.75165,0.344238
-6.86028,0.971495,1.14303,2,3,0,6.94395,-1.42354,-0.645266,-0.670714
-6.94428,0.758129,1.14303,2,3,0,8.66906,-1.53253,-2.92957,-0.868523
-6.78662,0.977196,1.14303,2,3,0,7.04521,-0.916109,1.13435,0.429018
-6.75623,1,1.14303,2,3,0,6.78048,-1.18467,-0.347339,-0.189437
-6.77838,0.993858,1.14303,1,1,0,6.77856,-1.26524,-0.0298661,-0.359129
-6.80277,0.99784,1.14303,2,3,0,6.80705,-1.32352,0.145879,-0.477201
-6.75355,1,1.14303,1,3,0,6.78987,-1.16911,0.425149,-0.1558
-8.60798,0.627408,1.14303,1,3,0,8.76116,0.0924645,0.873046,3.2772
-9.17765,0.933472,1.14303,2,3,0,9.82584,0.254365,-1.79592,3.75901
-6.75098,1,1.14303,1,3,0,8.44149,-1.04756,-2.90033,0.116321
-7.64562,0.791865,1.14303,1,3,0,7.68532,-0.256977,-0.444484,2.23328
-7.64562,0.182279,1.14303,1,1,0,10.4815,-0.256977,3.75651,2.23328
-6.88041,0.958973,1.14303,1,3,0,7.84252,-1.4524,-2.18802,-0.724413
-7.05962,0.943005,1.14303,1,3,0,7.32285,-0.592268,-1.14447,1.27338
-8.02064,0.695854,1.14303,1,1,0,8.06576,-0.1045,0.473828,2.68678
-7.0409,1,1.14303,2,3,0,7.97867,-1.63368,-2.16016,-1.04008
-6.86845,1,1.14303,1,1,0,7.00605,-1.43553,0.827445,-0.69314
-9.11512,0.592497,1.14303,1,3,0,9.58056,0.23762,1.52184,3.70953
-8.44773,1,1.14303,1,1,0,9.43117,0.0424207,-2.21214,3.12724
-7.05726,1,1.14303,2,3,0,7.9523,-0.594122,2.11037,1.26827
-7.5848,0.821384,1.14303,1,1,0,7.64697,-0.284719,0.556183,2.15157
-8.36887,0.735965,1.14303,1,1,0,8.60632,0.0168916,1.087,3.05067
-6.77084,1,1.14303,1,3,0,8.09122,-1.24278,-2.56323,-0.312562
-7.01708,0.944456,1.14303,2,3,0,7.16863,-1.61035,-0.868373,-1.00152
-8.58988,0.799986,1.14303,1,3,0,8.73775,-2.56763,0.857778,-2.14498
-7.04227,1,1.14303,1,3,0,8.42776,-1.635,2.62567,-1.04223
-7.43229,0.925391,1.14303,1,1,0,7.43939,-1.94069,0.187962,-1.49313
-7.50387,0.995967,1.14303,2,3,0,7.62798,-1.98767,0.785842,-1.55395
-7.17112,1,1.14303,1,1,0,7.46936,-1.74871,1.21821,-1.22149
-6.78597,0.988189,1.14303,2,3,0,7.2681,-1.28522,-1.5489,-0.40005
-6.74803,0.999768,1.14303,1,3,0,6.78086,-1.10088,0.404168,-0.00509355
-6.97989,0.940608,1.14303,1,3,0,7.00278,-0.659771,0.337479,1.08949
-7.10997,0.984782,1.14303,2,3,0,7.17259,-0.554289,-0.558198,1.37844
-6.7713,0.754742,1.14303,2,3,0,8.13007,-0.956433,2.60023,0.331116
-6.83859,0.991878,1.14303,2,3,0,6.84006,-1.38958,0.0856132,-0.606308
-6.75793,0.993157,1.14303,2,3,0,6.88789,-1.1932,0.804164,-0.207754
-6.75793,0.636773,1.14303,1,3,0,8.6368,-1.1932,3.05764,-0.207754
-6.77245,0.976751,1.14303,2,3,0,6.89099,-0.952986,0.768005,0.339417
-7.22038,0.89118,1.14303,1,3,0,7.2234,-0.479825,0.12262,1.58752
-8.86871,0.529072,1.14303,1,1,0,8.93894,0.169328,0.591183,3.50677
-8.70289,1,1.14303,1,1,0,9.52854,0.121052,-2.02691,3.36271
-6.74817,1,1.14303,1,3,0,8.15361,-1.08701,2.6445,0.0261864
-6.75018,0.999157,1.14303,2,3,0,6.75272,-1.05497,-0.112397,0.0992554
-6.77444,0.99589,1.14303,2,3,0,6.77823,-1.25389,0.13731,-0.335674
-7.2243,0.913109,1.14303,2,3,0,7.41423,-1.79115,0.972139,-1.28482
-6.92734,0.797639,1.14303,2,3,0,9.22029,-1.51262,3.37782,-0.833392
-7.60995,0.905281,1.14303,1,3,0,7.62187,-2.05415,0.243502,-1.6364
-6.81324,1,1.14303,1,3,0,7.49444,-1.34453,1.8411,-0.518816
-6.83915,0.974316,1.14303,2,3,0,7.01235,-0.820247,-0.928361,0.668535
-6.99951,0.946382,1.14303,1,1,0,7.01333,-0.642145,-0.262224,1.13714
-6.79975,1,1.14303,1,1,0,6.9348,-0.887787,0.81975,0.498801
-7.04087,0.911747,1.14303,1,3,0,7.25371,-1.63365,1.0291,-1.04003
-6.75587,0.993722,1.14303,2,3,0,7.07783,-1.18275,-1.26571,-0.185301
-6.85897,0.97113,1.14303,1,3,0,6.89561,-0.792116,0.427027,0.740575
-6.78692,0.988674,1.14303,1,3,0,6.93113,-1.2876,0.847101,-0.404888
-6.75217,1,1.14303,2,3,0,6.78073,-1.03819,0.37696,0.137981
-7.04674,0.854344,1.14303,2,3,0,7.54309,-1.63927,-1.57156,-1.04923
-6.79097,0.986152,1.14303,2,3,0,7.16744,-1.29734,-1.3687,-0.424653
-7.62609,0.770629,1.14303,2,3,0,8.35379,-0.265773,-1.9029,2.20734
-6.89313,1,1.14303,1,1,0,7.36922,-0.749208,-1.53916,0.851926
-8.26913,0.602613,1.14303,1,1,0,8.2708,-0.0163467,-0.0913236,2.95096
-7.71728,1,1.14303,1,1,0,8.35747,-0.225543,1.78482,2.32623
-6.74818,1,1.14303,1,3,0,7.466,-1.08685,-1.88994,0.0265481
-6.7489,0.999541,1.14303,2,3,0,6.75058,-1.12657,-0.0915809,-0.0624563
-6.75759,0.998544,1.14303,2,3,0,6.75941,-1.0071,-0.0951699,0.210575
-6.84082,0.980079,1.14303,1,3,0,6.84096,-0.817758,-0.0264297,0.674877
-6.74802,1,1.14303,1,3,0,6.8234,-1.09983,-0.61241,-0.00274231
-6.82393,0.98015,1.14303,1,3,0,6.83272,-0.844097,0.209126,0.608072
-6.82256,0.925868,1.14303,2,3,0,7.17424,-1.36192,1.32287,-0.552865
-7.07245,0.795076,1.14303,2,3,0,8.35822,-1.66333,-2.52941,-1.08821
-7.00375,1,1.14303,1,1,0,7.10339,-1.59689,-0.704127,-0.978992
-6.83395,1,1.14303,1,1,0,6.96454,-1.38184,-0.806094,-0.591437
-6.80277,1,1.14303,1,1,0,6.83487,-1.32352,0.399668,-0.477205
-9.22397,0.561235,1.14303,1,3,0,9.55955,0.266628,1.29222,3.79518
-7.15982,1,1.14303,1,1,0,8.47111,-0.519364,-2.5544,1.47601
-6.79989,1,1.14303,2,3,0,7.18142,-1.31741,-1.37786,-0.465003
-6.91465,0.963814,1.14303,1,3,0,7.03268,-0.724852,0.766342,0.915905
-6.92697,0.995734,1.14303,1,1,0,6.9802,-0.711656,0.51467,0.950796
-8.02288,0.650623,1.14303,1,3,0,9.13053,-2.28755,-2.34768,-1.89408
-7.7128,1,1.14303,1,1,0,8.07955,-2.11563,1.3509,-1.70895
-6.82824,0.99084,1.14303,2,3,0,7.78464,-1.37203,2.1815,-0.572501
-6.75544,0.984888,1.14303,2,3,0,6.9183,-1.01794,0.900212,0.185143
-9.31959,0.522429,1.14303,1,3,0,9.40176,0.291581,-0.639428,3.8686
-7.16491,1,1.14303,1,1,0,8.53049,-0.515927,2.60674,1.48566
-6.75458,1,1.14303,1,3,0,7.11471,-1.17544,1.33865,-0.169526
-6.75458,0.862479,1.14303,1,3,0,7.317,-1.17544,1.6729,-0.169526
-6.92449,0.880058,1.14303,2,3,0,7.46665,-1.50919,-1.64249,-0.827293
-7.09425,0.962846,1.14303,1,1,0,7.10798,-1.68307,0.261465,-1.11972
-6.85363,1,1.14303,1,1,0,7.03856,-1.41349,0.959285,-0.651786
-6.78312,1,1.14303,1,1,0,6.83645,-1.27798,-0.515141,-0.385266
-6.88727,0.973406,1.14303,1,1,0,6.88738,-1.46175,0.0238241,-0.741609
-8.47739,0.799012,1.14303,2,3,0,8.80248,-2.51465,-1.27187,-2.10195
-10.4419,0.781428,1.14303,1,3,0,10.4625,-3.34156,-0.319716,-2.58993
-11.1777,0.966347,1.14303,1,1,0,11.3512,-3.6202,-0.929184,-2.68705
-8.49147,0.881838,1.14303,1,3,0,11.0906,-2.52135,3.59629,-2.1075
-7.21743,0.832892,1.14303,2,3,0,9.72928,-0.481683,3.53537,1.58226
-6.74822,1,1.14303,1,3,0,7.10425,-1.08526,1.331,0.0301526
-7.15826,0.89791,1.14303,1,3,0,7.18845,-0.52042,-0.387588,1.47305
-6.76165,0.76041,1.14303,2,3,0,8.1527,-0.989537,-2.63093,0.252041
-6.89205,0.958084,1.14303,1,3,0,6.96714,-1.46816,0.611256,-0.753325
-6.75311,0.992436,1.14303,1,3,0,6.90262,-1.03172,-0.862523,0.153
-6.77569,0.993033,1.14303,1,1,0,6.77574,-0.943744,0.0152343,0.361737
-7.13725,0.912073,1.14303,1,3,0,7.13827,-0.53488,-0.0712331,1.43255
-7.13725,0.534014,1.14303,1,1,0,8.19191,-0.53488,-2.29084,1.43255
-6.82694,1,1.14303,2,3,0,7.03479,-0.839186,-1.01698,0.620474
-6.82234,1,1.14303,1,1,0,6.8484,-0.846728,0.360144,0.601437
-6.82234,0.79784,1.14303,1,3,0,7.66481,-0.846728,-2.04746,0.601437
-6.74976,0.998976,1.14303,1,3,0,6.81828,-1.13807,-0.583919,-0.0879097
-7.82364,0.543508,1.14303,2,3,0,9.64262,-2.17915,3.00852,-1.78033
-9.50756,0.812069,1.14303,1,3,0,9.53071,-2.96884,0.339397,-2.41376
-10.5517,0.936138,1.14303,1,1,0,10.6208,-3.3838,-0.586326,-2.60633
-6.75789,0.858961,1.14303,2,7,0,11.8914,-1.00567,5.0541,0.213928
-6.75789,0.803417,1.14303,1,3,0,7.34093,-1.00567,1.70329,0.213928
-6.96763,0.963036,1.14303,2,3,0,6.99581,-1.55873,0.374442,-0.914054
-6.98093,0.997009,1.14303,1,1,0,7.03223,-1.57309,0.505216,-0.938682
-6.91405,0.947291,1.14303,2,3,0,7.42543,-0.725513,-1.59518,0.914163
-7.06189,0.983038,1.14303,2,3,0,7.10021,-0.590486,-0.436647,1.27828
-6.79678,0.985369,1.14303,1,3,0,7.14139,-1.31062,1.3095,-0.451394
-6.94258,0.957891,1.14303,2,3,0,7.12105,-1.53057,0.942394,-0.865068
-7.09595,0.966697,1.14303,1,1,0,7.11478,-1.68459,-0.306058,-1.12213
-6.76378,1,1.14303,1,3,0,7.03623,-1.21817,1.16434,-0.260904
-7.50885,0.875251,1.14303,2,3,0,7.69567,-1.99086,-0.964156,-1.55801
-6.75203,0.979982,1.14303,1,3,0,7.46801,-1.15862,-1.88751,-0.132986
-6.86844,0.968324,1.14303,1,3,0,6.89797,-0.779596,0.383296,0.772883
-7.01458,0.950482,1.14303,1,1,0,7.03816,-0.629102,-0.342564,1.17257
-6.75138,0.97205,1.14303,2,3,0,7.1696,-1.1535,-1.44259,-0.121792
-7.14897,0.785366,1.14303,2,3,0,8.05764,-1.73038,2.12638,-1.19353
-7.00569,1,1.14303,2,3,0,7.15009,-1.59886,-0.847666,-0.982309
-6.81593,1,1.14303,2,3,0,6.95932,-1.34968,0.844669,-0.528929
-6.74821,0.868158,1.14303,2,3,0,7.63296,-1.08568,-2.0982,0.0291986
-7.04451,0.925119,1.14303,1,3,0,7.0676,-0.604288,0.338938,1.24036
-6.79645,1,1.14303,2,3,0,7.02883,-1.30989,-1.07532,-0.449934
-10.3757,0.354435,1.14303,1,3,0,12.0567,-3.31594,2.89219,-2.57966
-10.2619,1,1.14303,1,1,0,10.7511,-3.27168,1.56018,-2.56133
-11.8769,0.928938,1.14303,1,1,0,11.8902,-3.87694,-0.257911,-2.75648
-6.75552,1,1.14303,2,3,0,10.7921,-1.18084,4.48173,-0.181181
-6.85737,0.971505,1.14303,1,3,0,6.89305,-0.794281,-0.421339,0.735003
-7.00773,0.949292,1.14303,1,1,0,7.02757,-0.634984,-0.314263,1.15658
-6.75025,0.969718,1.14303,2,3,0,7.17382,-1.14332,-1.45178,-0.0994631
-6.99208,0.942622,1.14303,1,3,0,7.02638,-1.58484,-0.413148,-0.958666
-6.78045,0.97754,1.14303,1,3,0,7.0692,-0.931126,-1.19867,0.392356
-6.7826,0.999313,1.14303,1,1,0,6.79233,-0.925737,-0.22001,0.405484
-6.74929,1,1.14303,1,3,0,6.77346,-1.06507,0.346773,0.076102
-6.81941,0.986409,1.14303,2,3,0,6.83686,-1.35618,0.29462,-0.541659
-6.9414,0.970362,1.14303,1,1,0,6.94412,-1.5292,0.116424,-0.862671
-7.5018,0.918805,1.14303,1,3,0,7.50414,-1.98633,0.107889,-1.55226
-7.00607,1,1.14303,1,1,0,7.4024,-1.59925,1.40433,-0.982957
-6.80623,1,1.14303,2,3,0,6.95024,-0.875197,-0.846503,0.530088
-6.85825,0.853895,1.14303,2,3,0,7.42452,-0.793085,1.67862,0.73808
-7.27083,0.934967,1.14303,2,3,0,7.27506,-1.82665,0.145168,-1.33634
-7.62199,0.980112,1.14303,2,3,0,7.65899,-2.06149,-0.429108,-1.64524
-7.14456,1,1.14303,1,1,0,7.54277,-1.72667,1.40764,-1.18783
-6.81229,1,1.14303,1,3,0,7.069,-1.3427,-1.13022,-0.515197
-6.74965,0.876164,1.14303,2,3,0,7.56903,-1.06067,-2.0192,0.0861755
-6.75952,0.998522,1.14303,2,3,0,6.76055,-1.20059,0.0715233,-0.223566
-6.92109,0.961387,1.14303,2,3,0,7.02491,-1.50506,-0.718779,-0.819936
-6.90529,1,1.14303,1,1,0,6.95379,-1.48537,-0.491263,-0.784586
